_object,Pos F1,Pos F2,Pos F3,Volume
"<PK:noesy_HSQC_SilB41_1ag.1.419: @(8.491, 2.897, 123.12)>",8.49058805684835,2.89723689644811,123.117537344553,14615201362.2438
"<PK:noesy_HSQC_SilB41_1ag.1.420: @(8.491, 2.469, 123.0)>",8.49139610924845,2.46928107950279,123.000825762441,14128548343.7229
"<PK:noesy_HSQC_SilB41_1ag.1.422: @(8.498, 1.979, 122.78)>",8.49794995324608,1.97873046641735,122.777986770855,19087154813.0194
"<PK:noesy_HSQC_SilB41_1ag.1.423: @(8.495, 1.566, 122.98)>",8.49480269720264,1.5660036658997,122.980928835628,6518332360.6822
"<PK:noesy_HSQC_SilB41_1ag.1.424: @(8.492, 1.198, 123.1)>",8.49209933591451,1.19839902909215,123.099094055689,45407065834.4499
"<PK:noesy_HSQC_SilB41_1ag.1.426: @(8.492, 0.617, 123.05)>",8.49162762011132,0.617045673068612,123.047720513916,14606152688.1768
"<PK:noesy_HSQC_SilB41_1ag.1.428: @(8.067, 4.367, 120.67)>",8.06655430052169,4.36734836491312,120.669370136304,8040626351.07282
"<PK:noesy_HSQC_SilB41_1ag.1.429: @(7.853, 1.761, 120.5)>",7.85299173958564,1.76113853451943,120.503357887781,20653693443.1334
"<PK:noesy_HSQC_SilB41_1ag.1.1: @(7.958, 4.367, 124.76)>",7.95826981405944,4.36743197793184,124.756605242995,None
"<PK:noesy_HSQC_SilB41_1ag.1.2: @(7.953, 1.182, 122.84)>",7.95344112343369,1.18152114402743,122.843231127728,757670878.591511
"<PK:noesy_HSQC_SilB41_1ag.1.4: @(7.933, 7.931, 124.81)>",7.93315957951624,7.93134184088183,124.81377686881,-6380585082186.87
"<PK:noesy_HSQC_SilB41_1ag.1.5: @(8.357, 8.345, 128.99)>",8.35711235672135,8.34538554644434,128.986256718737,None
"<PK:noesy_HSQC_SilB41_1ag.1.6: @(8.336, 4.209, 123.36)>",8.3358389427659,4.2094611053475,123.364268708338,392295058977.486
"<PK:noesy_HSQC_SilB41_1ag.1.7: @(8.319, 4.027, 122.92)>",8.31882413635652,4.02658748868738,122.917249301477,197299266714.321
"<PK:noesy_HSQC_SilB41_1ag.1.8: @(8.347, 1.817, 121.36)>",8.34662705089268,1.81745887037968,121.364810504962,964146759450.325
"<PK:noesy_HSQC_SilB41_1ag.1.9: @(8.34, 1.716, 122.66)>",8.33973289586273,1.7160671358564,122.656686243161,74050552772.9137
"<PK:noesy_HSQC_SilB41_1ag.1.10: @(8.105, 8.232, 123.29)>",8.10478340115973,8.23178382270508,123.286812557298,None
"<PK:noesy_HSQC_SilB41_1ag.1.11: @(8.097, 4.027, 123.33)>",8.09664375743194,4.02662581132096,123.334825333429,None
"<PK:noesy_HSQC_SilB41_1ag.1.12: @(8.083, 0.819, 123.49)>",8.08298014528316,0.819336422540561,123.485615563021,10913189106.2977
"<PK:noesy_HSQC_SilB41_1ag.1.13: @(8.097, 1.284, 123.5)>",8.09664375743194,1.28396500903629,123.495768379921,None
"<PK:noesy_HSQC_SilB41_1ag.1.14: @(8.097, 1.074, 123.28)>",8.09664375743194,1.07435314346084,123.282772843902,None
"<PK:noesy_HSQC_SilB41_1ag.1.86: @(8.571, 8.568, 116.39)>",8.57103957210662,8.56781683064902,116.385872287092,210013354316.876
"<PK:noesy_HSQC_SilB41_1ag.1.88: @(8.567, 4.173, 116.38)>",8.56734856361812,4.17288240044316,116.379131195521,18970313378.4279
"<PK:noesy_HSQC_SilB41_1ag.1.89: @(8.571, 3.566, 116.4)>",8.57076310044314,3.56572994887529,116.404991949987,6382176041.11159
"<PK:noesy_HSQC_SilB41_1ag.1.90: @(8.566, 2.876, 116.36)>",8.56636166162439,2.87564035048759,116.360253462455,3813359464.12042
"<PK:noesy_HSQC_SilB41_1ag.1.91: @(8.57, 2.699, 116.39)>",8.57023276171759,2.69942591353276,116.386337615954,3137640118.87256
"<PK:noesy_HSQC_SilB41_1ag.1.92: @(8.569, 2.334, 116.38)>",8.56876395942992,2.3337393991904,116.378206714729,17644265081.2926
"<PK:noesy_HSQC_SilB41_1ag.1.93: @(8.562, 1.992, 116.38)>",8.56160426243388,1.99227179387785,116.384427914539,12141834048.4349
"<PK:noesy_HSQC_SilB41_1ag.1.94: @(8.568, 1.789, 116.38)>",8.56801055551676,1.78924047195437,116.379517253759,39753960208.6848
"<PK:noesy_HSQC_SilB41_1ag.1.107: @(7.985, 7.992, 116.35)>",7.98530069451644,7.99165668917219,116.350142854588,370509136523.743
"<PK:noesy_HSQC_SilB41_1ag.1.108: @(7.991, 7.221, 116.32)>",7.99139027477727,7.22064984537229,116.315423350434,29168179981.7364
"<PK:noesy_HSQC_SilB41_1ag.1.109: @(7.992, 4.169, 116.26)>",7.99228129351663,4.16904068085084,116.257282979874,19576653008.1749
"<PK:noesy_HSQC_SilB41_1ag.1.110: @(7.996, 4.051, 116.2)>",7.99610320997158,4.0510253841948,116.195484836201,14112765573.8246
"<PK:noesy_HSQC_SilB41_1ag.1.111: @(7.99, 3.409, 116.23)>",7.98966089856777,3.4089117414776,116.226042117811,8068754802.42484
"<PK:noesy_HSQC_SilB41_1ag.1.112: @(7.992, 3.19, 116.2)>",7.99180659688688,3.18968139256998,116.198051351364,8009872315.67757
"<PK:noesy_HSQC_SilB41_1ag.1.113: @(7.992, 2.417, 116.28)>",7.99193551763562,2.41735938566311,116.277090341177,31635194800.1217
"<PK:noesy_HSQC_SilB41_1ag.1.114: @(7.993, 1.826, 116.3)>",7.99259105107671,1.8257305868746,116.303910579049,8802195389.72403
"<PK:noesy_HSQC_SilB41_1ag.1.115: @(7.992, 1.66, 116.25)>",7.99221248610353,1.65967413630131,116.249769771829,12720508685.679
"<PK:noesy_HSQC_SilB41_1ag.1.117: @(7.224, 7.989, 116.88)>",7.2240676403962,7.98931204077221,116.878190223301,13576201030.6663
"<PK:noesy_HSQC_SilB41_1ag.1.118: @(7.221, 7.232, 116.79)>",7.2209303204413,7.23153820142629,116.79422410089,471031850345.382
"<PK:noesy_HSQC_SilB41_1ag.1.119: @(7.224, 4.045, 116.85)>",7.22363169451173,4.04462251820761,116.846980245898,49367219797.734
"<PK:noesy_HSQC_SilB41_1ag.1.120: @(7.224, 2.419, 116.84)>",7.22357257478495,2.41886442000009,116.843937077498,10434185153.9653
"<PK:noesy_HSQC_SilB41_1ag.1.121: @(7.225, 1.402, 116.79)>",7.22549669832973,1.40186931936391,116.793437571574,6742086066.93715
"<PK:noesy_HSQC_SilB41_1ag.1.132: @(9.402, 9.396, 120.46)>",9.40222206850705,9.39622961088707,120.460484318908,271975413190.244
"<PK:noesy_HSQC_SilB41_1ag.1.133: @(9.402, 7.269, 120.46)>",9.40214332500542,7.26898464024813,120.464374756452,29074069469.4133
"<PK:noesy_HSQC_SilB41_1ag.1.134: @(9.404, 6.844, 120.48)>",9.40423760406636,6.84389057840785,120.480666414073,13111854076.9459
